Artist,Album,Genre,Style,Year,Ratings
Birdman / Young Thug / Rich Homie Quan,Tha Tour Part 1,Hip Hop,None,2014, 8.0 
The Aislers Set,Terrible Things Happen,Rock,Indie Rock,2014, 7.8 
Perfume Genius,Too Bright,Pop,None,2014, 8.5 
Aphex Twin,Syro,Electronic,Breakbeat,2014, 8.7 
Shellac,Dude Incredible,Rock,Indie Rock,2014, 8.0 
Mr Twin Sister,Mr Twin Sister,Electronic,Dance-pop,2014, 8.1 
Krieg,Transient,Electronic,IDM,2014, 8.0 
Aby Ngana Diop,Liital,Electronic,Griot,2014, 8.0 
Roman Fl?gel,Happiness Is Happening,Electronic,Techno,2014, 8.1 
YOB,Clearing the Path to Ascend,Rock,Doom Metal,2014, 8.2 
iLoveMakonnen,iLoveMakonnen EP,Hip Hop,RnB/Swing,2014, 8.0 
Sinoia Caves,Beyond the Black Rainbow OST,None,None,2014, 8.1 
Cymbals Eat Guitars,LOSE,Rock,Indie Rock,2014, 8.2 
Susanna / Jenny Hval,Meshes of Voice,Electronic,Ballad,2014, 8.2 
Coachwhips,Get Yer Body Next Ta Mine,Rock,Garage Rock,2014, 8.0 
Pallbearer,Foundations of Burden,Rock,Doom Metal,2014, 8.6 
FKA twigs,LP1,Electronic,Abstract,2014, 8.8 
Kenny Dope,Wild Style Breakbeats,Electronic,Breakbeat,2014, 8.4 
Spoon,They Want My Soul,Rock,None,2014, 8.6 
Lewis,Romantic Times,Electronic,Folk Rock,2014, 8.1 
Shabazz Palaces,Lese Majesty,Electronic,Abstract,2014, 8.2 
DJ Dodger Stadium,Friend of Mine,Electronic,House,2014, 8.0 
United Nations,The Next Four Years,Rock,Hardcore,2014, 8.1 
Tonstartssbandht,Overseas,Hip Hop,Conscious,2014, 8.0 
Brian Eno / Karl Hyde,High Life,Electronic,Synth-pop,2014, 8.5 
Total Control,Typical System,Electronic,New Wave,2014, 8.0 
Eyehategod,Eyehategod,Rock,Sludge Metal,2014, 8.0 
A Sunny Day in Glasgow,Sea When Absent,Rock,Shoegaze,2014, 8.5 
How to Dress Well," ""What Is This Heart?"" ", Electronic,RnB/Swing,2014, 8.8 
Open Mike Eagle,Dark Comedy,Electronic,Conscious,2014, 8.0 
The Soft Pink Truth,Why Do the Heathen Rage?,Electronic,Black Metal,2014, 8.2 
Richard Reed Parry,Music for Heart and Breath,Classical,Contemporary,2014, 8.0 
Lone,Reality Testing,Electronic,Bass Music,2014, 8.0 
Various Artists,Eccentric Soul: Capitol City Soul,Funk / Soul,Soul,2014, 7.7 
White Lung,Deep Fantasy,Rock,Punk,2014, 8.6 
Popcaan,Where We Come From,Reggae,Dancehall,2014, 8.0 
Tombs,Savage Gold,Rock,Black Metal,2014, 8.3 
Tom Carter / Pat Murano,Four Infernal Rivers,Electronic,Dark Ambient,2014, 8.0 
Parquet Courts,Sunbathing Animal,Rock,Punk,2014, 8.6 
Officer!,Dead Unique,Jazz,Art Rock,2014, 8.0 
Ben Frost,A U R O R A,Electronic,Ambient,2014, 8.5 
Hundred Waters,The Moon Rang Like A Bell,Electronic,Indie Rock,2014, 8.3 
K. Leimer,A Period of Review (Original Recordings: 1975-1983),Electronic,Ambient,2014, 8.2 
Various Artists,Wheedle's Groove: Seattle Funk Soul & Modern Boogie: Volume II 1972-1987,Funk / Soul,Rhythm & Blues,2014, 8.1 
Sharon Van Etten,Are We There,Rock,Indie Rock,2014, 8.2 
Lantl?s,Melting Sun,Rock,Post Rock,2014, 8.0 
Owen Pallett,In Conflict,Pop,Indie Pop,2014, 8.0 
Various Artists,Hyperdub 10.1,Electronic,Abstract,2014, 8.5 
Agalloch,The Serpent & the Sphere,Rock,Black Metal,2014, 8.3 
Gruff Rhys,American Interior,Rock,Alternative Rock,2014, 8.0 
Swans,To Be Kind,Rock,Noise,2014, 9.2 
Wold,Postsocial,Electronic,Black Metal,2014, 8.0 
tUnE-yArDs,Nikki Nack,Rock,Alternative Rock,2014, 8.1 
Lykke Li,I Never Learn,Electronic,Vocal,2014, 8.4 
Creation Rebel / New Age Steppers,Threat to Creation,Electronic,Dub,2014, 8.0 
Wovenhand,Refractory Obdurate,Rock,Alternative Rock,2014, 8.2 
The Moles,Flashbacks and Dream Sequences: The Story of the Moles,None,None,2014, 8.0 
Ought,More Than Any Other Day,Rock,Post-Punk,2014, 8.4 
Olga Bell,Ља © (Krai),Electronic,Ambient,2014, 8.0 
Future,Honest,Hip Hop,None,2014, 8.1 
LCD Soundsystem,The Long Goodbye,Electronic,Alternative Rock,2014, 8.1 
Purling Hiss,Dizzy Polizzy,Rock,Garage Rock,2014, 7.5 
Protomartyr,Under Color of Official Right,Rock,Post-Punk,2014, 8.1 
Todd Terje,It's Album Time,Electronic,Disco,2014, 8.7 
Nux Vomica,Nux Vomica,Rock,Sludge Metal,2014, 8.0 
Max Richter,Memoryhouse,Electronic,Modern Classical,2014, 8.7 
Mac DeMarco,Salad Days,Rock,Indie Rock,2014, 8.5 
Cloud Nothings,Here and Nowhere Else,Rock,Indie Rock,2014, 8.7 
YG,My Krazy Life,Hip Hop,Gangsta,2014, 8.1 
Future Islands,Singles,Rock,Blues Rock,2014, 8.0 
Obnox,Louder Space,Rock,None,2014, 8.0 
Offenders,Endless Struggle,Rock,Hardcore,2014, 8.2 
The War on Drugs,Lost in the Dream,Rock,Indie Rock,2014, 8.8 
Perfect Pussy,Say Yes to Love,Rock,Punk,2014, 8.6 
Move D,Fabric 74,Electronic,Techno,2014, 8.0 
Donato Dozzy / Nuel,The Aquaplano Sessions,Electronic,Techno,2014, 8.0 
Madlib / Freddie Gibbs,Pi?ata,Hip Hop,Gangsta,2014, 8.0 
Peter Walker," ?Second Poem To Karmela"" Or Gypsies Are Important ", Folk World & Country,Indian Classical,2014, 8.3 
Thou,Heathen,Rock,Sludge Metal,2014, 8.4 
Frankie Cosmos,Zentropy,Rock,Lo-Fi,2014, 8.0 
Various Artists,Soul Jazz Presents: Studio One Rocksteady,None,None,2014, 8.1 
Real Estate,Atlas,Rock,Melodic Hardcore,2014, 8.8 
The Hotelier,Home Like Noplace Is There,Rock,Punk,2014, 8.2 
Bob Mould,Workbook 25,Rock,Alternative Rock,2014, 8.0 
Behemoth,The Satanist,Rock,Black Metal,2014, 8.2 
Wild Beasts,Present Tense,Rock,Art Rock,2014, 8.2 
St. Vincent,St. Vincent,Rock,Punk,2014, 8.6 
Slough Feg,Digital Resistance,Rock,Heavy Metal,2014, 8.1 
Woods of Desolation,As The Stars,Rock,Black Metal,2014, 8.0 
Angel Olsen,Burn Your Fire for No Witness,Rock,None,2014, 8.3 
Container,Adhesive,Electronic,Techno,2014, 8.0 
Isaiah Rashad,Cilvia Demo,Hip Hop,None,2014, 8.2 
Gridlink,Longhena,Rock,Grindcore,2014, 8.0 
Tinariwen,Emmaar,Blues,Electric Blues,2014, 8.1 
Holly Herndon,Chorus EP,None,None,2014, 8.0 
Marissa Nadler,July,Rock,Folk,2014, 8.1 
Aztec Camera,High Land Hard Rain,Rock,Indie Rock,2014, 8.3 
Sun Kil Moon,Benji,Rock,Acoustic,2014, 9.2 
Demilich,20th Adversary of Emptiness,Rock,Death Metal,2014, 8.0 
Indian,From All Purity,Rock,Sludge Metal,2014, 8.2 
Thee Silver Mt. Zion Memorial Orchestra,Fuck Off Get Free We Pour Light on Everything,Rock,Alternative Rock,2014, 8.0 
Various Artists,Killed by Deathrock: Vol. 1,Rock,Deathrock,2014, 8.0 
Blank Realm,Grassed Inn,Rock,Indie Rock,2014, 8.0 
Brigitte Fontaine,Est...Folle,Pop,Chanson,2013, 7.3 
Hiss Golden Messenger,Bad Debt,None,None,2013, 8.2 
Big Business,Battlefields Forever,Rock,Sludge Metal,2013, 8.0 
Luciano Cilio,Dell?Universo Assente,Rock,Folk Rock,2013, 8.4 
Beyonc?,Beyonc?,Hip Hop,RnB/Swing,2013, 8.8 
Burial,Rival Dealer EP,None,None,2013, 9.0 
Patrick Cowley,School Daze,Electronic,Soundtrack,2013, 8.3 
Various Artists,I Heard The Angels Singing: Electrifying Black Gospel,Funk / Soul,Gospel,2013, 8.1 
Inquisition,Obscure Verses for the Multiverse,Rock,Black Metal,2013, 8.1 
Phill Niblock,Touch Five,Electronic,Drone,2013, 7.4 
Logos,Cold Mission,Electronic,Abstract,2013, 8.1 
Death Grips,Government Plates,Electronic,Experimental,2013, 8.4 
Various Artists,Saint Heron,Electronic,RnB/Swing,2013, 8.1 
Throwing Muses,Purgatory/Paradise,Rock,Indie Rock,2013, 8.0 
Blood Orange,Cupid Deluxe,Funk / Soul,None,2013, 8.5 
Swans,Not Here/Not Now,Rock,Acoustic,2013, 8.2 
Matana Roberts,COIN COIN Chapter Two: Mississippi Moonchile,Jazz,Avant-garde Jazz,2013, 8.1 
Action Bronson / Party Supplies,Blue Chips 2,Hip Hop,None,2013, 8.0 
Yvette,Process,Electronic,Abstract,2013, 8.1 
Death Cab for Cutie,Transatlanticism,Rock,Indie Rock,2013, 8.4 
The Range,Nonfiction,Electronic,Downtempo,2013, 8.2 
Matt Kivel,Double Exposure,Rock,Folk,2013, 8.0 
Los Campesinos!,No Blues,Rock,Indie Rock,2013, 8.0 
Sky Ferreira,Night Time My Time,Rock,Pop Rock,2013, 8.1 
Atlantean Kodex,The White Goddess (A Grammar Of Poetic Myth),None,None,2013, 8.0 
Arcade Fire,Reflektor,Electronic,New Wave,2013, 9.2 
Castevet,Obsian,Rock,Black Metal,2013, 8.1 
Unwound,Kid Is Gone,Rock,Indie Rock,2013, 8.0 
Mutual Benefit,Love's Crushing Diamond,Rock,Folk Rock,2013, 8.4 
Special Request,Soul Music,Electronic,Techno,2013, 8.1 
Livity Sound,Livity Sound,Electronic,Dubstep,2013, 8.1 
DJ Rashad,Double Cup,Electronic,Juke,2013, 8.6 
SubRosa,More Constant Than the Gods,Rock,Doom Metal,2013, 8.3 
Kelela,Cut 4 Me,Electronic,RnB/Swing,2013, 8.3 
Leverage Models,Leverage Models,Electronic,Art Rock,2013, 8.2 
Hoax,Hoax,Rock,Punk,2013, 8.1 
Tim Hecker,Virgins,Electronic,Ambient,2013, 8.3 
Various Artists,Afrobeat Airways 2: Return Flight to Ghana 1974-1983,Funk / Soul,Afrobeat,2013, 8.3 
Pusha T,My Name Is My Name,Hip Hop,None,2013, 8.0 
Alex Chilton,Electricity by Candlelight,Rock,None,2013, 8.1 
Polvo,Siberia,Rock,Math Rock,2013, 8.3 
Darkside,Psychic,Electronic,Downtempo,2013, 9.0 
Touch? Amor?,Is Survived By,Rock,Hardcore,2013, 8.0 
Oneohtrix Point Never,R Plus Seven,Electronic,Musique Concr?te,2013, 8.4 
Danny Brown,Old,Hip Hop,None,2013, 8.7 
